Year,Event with year,Place,Artist,Place of birth,M/F/CO,P/C,Combination,Latitude,Longitude
2005,Baltic Triennial 2005,Vilnius,Markus Schinwald ,Austria,M,C,MC,47.5162,14.5501
2005,Baltic Triennial 2005,Vilnius,Drum Ecstasy  ,Belarus,M,P,MP,53.7098,27.9534
2005,Baltic Triennial 2005,Vilnius,Daniel Bozhkov ,Bulgaria,M,P,MP,42.7339,25.4858
2005,Baltic Triennial 2005,Vilnius,Jeppe Hein ,Denmark,M,C,MC,56.2639,9.5018
2005,Baltic Triennial 2005,Vilnius,Joachim Koester ,Denmark,M,C,MC,56.2639,9.5018
2005,Baltic Triennial 2005,Vilnius,Brice Dellsperger ,France,M,C,MC,46.2276,2.2137
2005,Baltic Triennial 2005,Vilnius,Bruno Serralongue ,France,M,C,MC,46.2276,2.2137
2005,Baltic Triennial 2005,Vilnius,Christelle Lheureux ,France,F,C,FC,46.2276,2.2137
2005,Baltic Triennial 2005,Vilnius,Loris Greaud ,France,F,C,FC,46.2276,2.2137
2005,Baltic Triennial 2005,Vilnius,Matthieu Laurette ,France,M,C,MC,46.2276,2.2137
2005,Baltic Triennial 2005,Vilnius,Vidya Gastaldon ,France,F,C,FC,46.2276,2.2137
2005,Baltic Triennial 2005,Vilnius,David Kuenzi ,Germany,M,C,MC,51.1657,10.4515
2005,Baltic Triennial 2005,Vilnius,Mrzyk & Moriceau ,Germany,CO,C,COC,51.1657,10.4515
2005,Baltic Triennial 2005,Vilnius,Rene Gabri ,Iran,M,P,MP,32.4279,53.688
2005,Baltic Triennial 2005,Vilnius,Roberto Cuoghi ,Italy,M,C,MC,41.8719,12.5674
2005,Baltic Triennial 2005,Vilnius,Arturas Raila ,Lithuania,M,P,MP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Bernadeta Levule ,Lithuania,F,P,FP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Deimantas Narkevicius ,Lithuania,M,P,MP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Gintaras Makarevicius ,Lithuania,M,P,MP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Juozas Laivys ,Lithuania,M,P,MP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Kristina Inciuraite ,Lithuania,F,P,FP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Laura Stasiulyte ,Lithuania,F,P,FP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Mindaugas Lukosaitis ,Lithuania,M,P,MP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Mariana Castillo Deball ,Mexico,F,P,FP,23.6345,-102.5528
2005,Baltic Triennial 2005,Vilnius,Mario Garcia Torres ,Mexico,M,P,MP,23.6345,-102.5528
2005,Baltic Triennial 2005,Vilnius,Pablo Leon de la Barra ,Mexico,M,P,MP,23.6345,-102.5528
2005,Baltic Triennial 2005,Vilnius,Teresa Margolles ,Mexico,F,P,FP,23.6345,-102.5528
2005,Baltic Triennial 2005,Vilnius,Gabriel Lester ,Netherlands,M,C,MC,52.1326,5.2913
2005,Baltic Triennial 2005,Vilnius,Maaike Gottschal ,Netherlands,F,C,FC,52.1326,5.2913
2005,Baltic Triennial 2005,Vilnius,Melvin Moti ,Netherlands,M,C,MC,52.1326,5.2913
2005,Baltic Triennial 2005,Vilnius,Natascha Hagenbeek  ,Netherlands,F,C,FC,52.1326,5.2913
2005,Baltic Triennial 2005,Vilnius,Ignacio Gonzalez-Lang ,Puerto Rico,M,P,MP,18.2208,-66.5901
2005,Baltic Triennial 2005,Vilnius,Ion Grigorescu ,Romania,M,P,MP,45.9432,24.9668
2005,Baltic Triennial 2005,Vilnius,Karl Holmqvist ,Sweden,M,C,MC,60.1282,18.6435
2005,Baltic Triennial 2005,Vilnius,Mirjam Wirz  ,Switzerland,M,C,MC,46.8182,8.2275
2005,Baltic Triennial 2005,Vilnius,Apichatpong Weerasethakul ,Thailand,M,P,MP,15.87,100.9925
2005,Baltic Triennial 2005,Vilnius,Cara Tolmie ,UK,F,C,FC,55.3781,-3.436
2005,Baltic Triennial 2005,Vilnius,Jonathan Monk ,UK,M,C,MC,55.3781,-3.436
2005,Baltic Triennial 2005,Vilnius,Kyle McCallum  ,UK,M,C,MC,55.3781,-3.436
2005,Baltic Triennial 2005,Vilnius,Olivia Plender ,UK,F,C,FC,55.3781,-3.436
2005,Baltic Triennial 2005,Vilnius,Alex Bag,USA,M,C,MC,37.0902,-95.7129
2005,Baltic Triennial 2005,Vilnius,Carey Young ,USA,M,C,MC,37.0902,-95.7129
2005,Baltic Triennial 2005,Vilnius,Deric Carner ,USA,M,C,MC,37.0902,-95.7129
2005,Baltic Triennial 2005,Vilnius,Donelle Woolford ,USA,F,C,FC,37.0902,-95.7129
2005,Baltic Triennial 2005,Vilnius,Emily Cullman  ,USA,F,C,FC,37.0902,-95.7129
2005,Baltic Triennial 2005,Vilnius,Joe Scanlan ,USA,M,C,MC,37.0902,-95.7129
2005,Baltic Triennial 2005,Vilnius,Reena Spaulings,USA,F,C,FC,37.0902,-95.7129
2005,Baltic Triennial 2005,Vilnius,Ross Cisneros  ,USA,M,C,MC,37.0902,-95.7129
2009,Baltic Triennial 2009,Vilnius,Ariel Orozco ,Cuba,F,P,FP,21.5218,-77.7812
2009,Baltic Triennial 2009,Vilnius,Kristina Norman ,Estonia,F,P,FP,58.5953,25.0136
2009,Baltic Triennial 2009,Vilnius,CHIM POM,Japan,CO,P,COP,36.2048,138.2529
2009,Baltic Triennial 2009,Vilnius,Edmunds Jansons  ,Latvia,M,P,MP,56.8796,24.6032
2009,Baltic Triennial 2009,Vilnius,Akvile Anglickaite,Lithuania,F,P,FP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Algimantas Kuncius,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Arunas Gudaitis ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Aurelija Maknyte ,Lithuania,F,P,FP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Darius Miksys ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Deimantas Narkevicius ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Evaldas Jansas ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Kestutis Sapoka  ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Laura Garbstiene ,Lithuania,F,P,FP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Mindaugas Lukosaitis ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Mindaugas Navakas ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,The Second Royal Palace Club  ,Lithuania,CO,P,COP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Vita Zaman  ,Lithuania,F,P,FP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Zilvinas Landzbergas ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Cora Roorda van Eijsinga ,Netherlands,F,C,FC,52.1326,5.2913
2009,Baltic Triennial 2009,Vilnius,Frank Koolen ,Netherlands,M,C,MC,52.1326,5.2913
2009,Baltic Triennial 2009,Vilnius,Helena Muskens  ,Netherlands,F,C,FC,52.1326,5.2913
2009,Baltic Triennial 2009,Vilnius,Kevin Van Braak ,Netherlands,M,C,MC,52.1326,5.2913
2009,Baltic Triennial 2009,Vilnius,Quirine Racke,Netherlands,F,C,FC,52.1326,5.2913
2009,Baltic Triennial 2009,Vilnius,Thomas Manneke ,Netherlands,M,C,MC,52.1326,5.2913
2009,Baltic Triennial 2009,Vilnius,Ibrahim Quraishi ,Pakistan,M,P,MP,30.3753,69.3451
2009,Baltic Triennial 2009,Vilnius,Pavel Braila ,Republic of Moldova,M,P,MP,47.4116,28.3699
2009,Baltic Triennial 2009,Vilnius,Irina Korina ,Russia,F,P,FP,61.524,105.3188
2009,Baltic Triennial 2009,Vilnius,Nikolay Oleynikov ,Russia,M,P,MP,61.524,105.3188
2009,Baltic Triennial 2009,Vilnius,Ha Za Vu Zu,Turkey,CO,P,COP,38.9637,35.2433
2009,Baltic Triennial 2009,Vilnius,Alison Jackson,UK,F,C,FC,55.3781,-3.436
2009,Baltic Triennial 2009,Vilnius,Beatrice Gibson,UK,F,C,FC,55.3781,-3.436
2009,Baltic Triennial 2009,Vilnius,Emily Wardill ,UK,F,C,FC,55.3781,-3.436
2009,Baltic Triennial 2009,Vilnius,Gail Pickering,UK,F,C,FC,55.3781,-3.436
2009,Baltic Triennial 2009,Vilnius,Jamie McCarthy  ,UK,M,C,MC,55.3781,-3.436
2009,Baltic Triennial 2009,Vilnius,Colter Jacobsen ,USA,M,C,MC,37.0902,-95.7129
2009,Baltic Triennial 2009,Vilnius,My Barbarian,USA,CO,C,COC,37.0902,-95.7129
2009,Baltic Triennial 2009,Vilnius,Paul Ramirez-Jonas ,USA,M,C,MC,37.0902,-95.7129
2012,Baltic Triennial 2012,Vilnius,Neil Beloufa ,Algeria,M,P,MP,28.0339,1.6596
2012,Baltic Triennial 2012,Vilnius,Ursula Mayer ,Austria,F,C,FC,47.5162,14.5501
2012,Baltic Triennial 2012,Vilnius,Miet Warlop ,Belgium,F,C,FC,50.5039,4.4699
2012,Baltic Triennial 2012,Vilnius,Ivo Dimchev  ,Bulgaria,M,P,MP,42.7339,25.4858
2012,Baltic Triennial 2012,Vilnius,Moyra Davey ,Canada,F,P,FP,56.1304,-106.3468
2012,Baltic Triennial 2012,Vilnius,Hu Xiangqian ,China,M,P,MP,35.8617,104.1954
2012,Baltic Triennial 2012,Vilnius,Kroot Juurak ,Estonia,F,P,FP,58.5953,25.0136
2012,Baltic Triennial 2012,Vilnius,Goodiepal,Faroe Islands,M,P,MP,61.8926,-6.9118
2012,Baltic Triennial 2012,Vilnius,Benjamin Seror ,France,M,C,MC,46.2276,2.2137
2012,Baltic Triennial 2012,Vilnius,Ragnar Kjartansson ,Iceland,M,P,MP,64.9631,-19.0208
2012,Baltic Triennial 2012,Vilnius,Rania Stephan ,Lebanon,F,P,FP,33.8547,35.8623
2012,Baltic Triennial 2012,Vilnius,Egle Budvytytes ,Lithuania,F,P,FP,55.1694,23.8813
2012,Baltic Triennial 2012,Vilnius,Valentinas Klimasauskas  ,Lithuania,M,P,MP,55.1694,23.8813
2012,Baltic Triennial 2012,Vilnius,Morten Norbye Halvorsen ,Norway,M,C,MC,60.472,8.4689
